ID,base product,south dakota,short description,Notes
213,TEST ID: 15593,TEST ID: 15593,·Create New Independent Retailer => Banking Info,
214,TEST ID: 14683,TEST ID: 14683,·Create Clerk Templates,
215,TEST ID: 14382,TEST ID: 14382,·Read Commission Classes,
216,TEST ID: 14383,TEST ID: 14383,·Update Commission Classes,
217,TEST ID: 14385,TEST ID: 14385,·Read Commission Rates,
218,TEST ID: 15372,TEST ID: 15372,·Create ChainHead Retailer BillsTo None Without Owner Info,
219,TEST ID: 15371,TEST ID: 15371,·Create ChainHead Retailer Bills To Other Chain Head,
220,TEST ID: 15369,TEST ID: 15369,·Create ChainHead Retailer Bills To Self,
221,TEST ID: 15370,TEST ID: 15370,·Create ChainSubordinate Retailer BillsTo Chain Head,
222,TEST ID: 15368,TEST ID: 15368,·Create ChainSubordinate Retailer Bills To self without owner,
223,TEST ID: 15367,TEST ID: 15367,·Create ChainSubordinate  Retailer => Location Info Tab,
224,TEST ID: 14352,TEST ID: 14352,·Read Financial Classes,
225,TEST ID: 14362,TEST ID: 14362,·Update Financial Classes,
226,TEST ID: 13214,TEST ID: 13214,·Read Location Profile - Adding Address Information,
227,TEST ID: 15585,TEST ID: 15585,·Update User is able to add another address information for a retrieved retailer application,
228,TEST ID: 15013,TEST ID: 15013,·Create Locations Financials Adjustments,
229,TEST ID: 13355,TEST ID: 13355,·Read Retailer Locations,
230,TEST ID: 13354,TEST ID: 13354,·Read Basic Search For Location Information,
231,TEST ID: 13934,TEST ID: 13934,·Read Existing Business Details,
232,TEST ID: 14513,TEST ID: 14513,·Create Retailer Locations Terminals,
233,TEST ID: 14979,TEST ID: 14979,·Read Locations Terminals,
234,TEST ID: 14562,TEST ID: 14562,·Create Retailer Locations Clerks,
235,TEST ID: 14563,TEST ID: 14563,·Read Retailer Locations Clerks,
236,TEST ID: 14116,TEST ID: 14116,·Create New Location Contact,
237,TEST ID: 13842,TEST ID: 13842,·Create New Owner,
238,TEST ID: 14998,TEST ID: 14998,·Read Financial Info,
239,TEST ID: 14981,TEST ID: 14981,·Create Retailer Locations Invoices Reports,
240,TEST ID: 12570 ,TEST ID: 12570 ,·Read Locations Owner Info,
241,TEST ID: 14983,TEST ID: 14983,·Read Smart Cash Summary Report,
242,TEST ID: 15204,TEST ID: 15204,·Read location representative page,
243,TEST ID: 15205,TEST ID: 15205,·Update Location Representative,
244,TEST ID: 13935,TEST ID: 13935,·Update Location Business Details,
245,TEST ID: 13108,TEST ID: 13108,·Read Existing Retailer Location Details,
246,TEST ID: 12569,TEST ID: 12569,·Read Retailer Owner,
247,TEST ID: 15360,TEST ID: 15360,·Read Retrieve Chain Head Retailer,
248,TEST ID: 15361,TEST ID: 15361,·Read Retrieve Chain subordinate Retailer,
249,TEST ID: 15359,TEST ID: 15359,·Read Retrieve Independent Retailer,
250,TEST ID: 15217,TEST ID: 15217,·Create Static Terminal Groups,
251,TEST ID: 15220,TEST ID: 15220,·Create Dynamic Terminal Groups,
252,TEST ID: 15219,TEST ID: 15219,·Create Static Based On Criteria,
253,TEST ID: 14644,TEST ID: 14644,·Create Terminal Templates,
254,TEST ID: 13962,TEST ID: 13962,·Read Existing Retailer Location License Details,
255,TEST ID: 13963,TEST ID: 13963,·Update Exising License Information,
256,TEST ID: 14117,TEST ID: 14117,·Read Existing Retailer Location Contact Details,
257,TEST ID: 13844,TEST ID: 13844,·Update Existing Location Owner Info,
258,TEST ID: 13843,TEST ID: 13843,·Read Location Owner Info,
259,TEST ID: 13114,TEST ID: 13114,·Update Existing Location Info,
260,TEST ID: 14982,TEST ID: 14982,·Create Existing Retailer Sales Report Details,
261,TEST ID: 14346,TEST ID: 14346,·Read Existing Retailer Terminal Financial Class Details ,
262,TEST ID: 14161,TEST ID: 14161,·Read Existing Retailer Location Instant Details,
263,TEST ID: 14162,TEST ID: 14162,·Update Location Instants Page,
